county,state,avganncount,avgdeathsperyear,popest2015,medincome,binnedinc,medianage,medianagemale,medianagefemale,pcths25_over,pctbachdeg25_over,pctemployed16_over,pctunemployed16_over,pctprivatecoverage,pctpubliccoverage,povertypercent,studypercap
Allegany County, Maryland,517.0,183,72528,39808,"(37413.8, 40362.7]",41.5,39.0,44.1,42.0,9.2,48.0,10.0,66.4,43.6,18.5,261.9677917
Anne Arundel County, Maryland,2676.0,977,564195,86654,"(61494.5, 125635]",38.4,36.8,39.7,25.0,22.5,64.2,5.9,81.6,25.1,6.7,69.12503656
Baltimore County, Maryland,4499.0,1714,831128,67766,"(61494.5, 125635]",39.1,37.4,40.6,27.2,20.9,61.9,6.9,75.2,29.7,9.8,216.5731392
Calvert County, Maryland,406.0,153,90595,92446,"(61494.5, 125635]",40.6,39.8,41.7,31.5,17.4,63.9,7.6,82.1,24.3,7.2,0.0
Caroline County, Maryland,174.0,69,32579,49573,"(48021.6, 51046.4]",40.1,39.0,40.6,40.7,9.7,59.6,8.8,61.6,41.2,16.0,0.0
Carroll County, Maryland,862.0,326,167627,84500,"(61494.5, 125635]",42.2,41.0,43.1,30.6,20.8,65.6,4.6,84.5,23.9,5.9,89.48439094
Cecil County, Maryland,522.0,207,102382,62198,"(61494.5, 125635]",40.1,39.5,40.5,37.8,13.9,60.7,7.5,72.9,30.4,10.6,419.9957024
Charles County, Maryland,572.0,239,156118,86703,"(61494.5, 125635]",37.7,36.2,38.9,32.2,17.2,64.2,6.3,82.3,24.3,7.2,0.0
Dorchester County, Maryland,210.0,84,32384,42279,"(40362.7, 42724.4]",43.8,42.0,45.1,38.3,12.1,58.2,10.4,61.7,45.6,17.5,0.0
Frederick County, Maryland,1037.0,367,245322,83698,"(61494.5, 125635]",39.1,38.1,40.1,25.2,23.2,67.0,5.8,81.6,23.2,6.5,114.1357074
Garrett County, Maryland,166.0,64,29460,47441,"(45201, 48021.6]",44.5,42.8,45.6,42.2,10.2,56.1,7.0,62.5,41.4,12.4,0.0
Harford County, Maryland,1302.0,450,250290,79403,"(61494.5, 125635]",40.1,38.6,41.3,28.1,20.2,64.2,6.4,81.9,26.9,8.0,79.90730752
Howard County, Maryland,1186.0,346,313414,106871,"(61494.5, 125635]",38.8,37.5,39.7,14.2,30.7,,4.9,84.7,19.3,6.1,165.91473259999998
Kent County, Maryland,140.0,59,19787,53288,"(51046.4, 54545.6]",46.2,44.2,47.4,33.2,16.4,53.2,7.2,68.1,42.6,13.8,0.0
Montgomery County, Maryland,4139.0,1292,1040116,97279,"(61494.5, 125635]",38.5,37.0,40.0,14.0,26.6,67.1,6.1,77.0,23.0,7.2,184.5947952
Prince George's County, Maryland,3222.0,1302,909535,71904,"(61494.5, 125635]",35.8,34.0,37.7,26.1,18.1,65.5,8.7,68.6,27.3,10.3,21.98925825
Queen Anne's County, Maryland,254.0,100,48904,80650,"(61494.5, 125635]",43.5,42.7,44.1,29.9,21.6,65.0,5.3,80.3,28.8,7.5,0.0
St. Mary's County, Maryland,433.0,180,111413,84686,"(61494.5, 125635]",36.3,35.9,36.8,30.6,17.6,63.4,4.8,80.2,25.2,8.6,17.95122652
Somerset County, Maryland,151.0,64,25768,38376,"(37413.8, 40362.7]",37.0,36.2,38.6,43.2,9.1,,8.2,56.2,46.8,25.5,0.0
Talbot County, Maryland,280.0,111,37512,54836,"(54545.6, 61494.5]",49.0,48.2,49.6,27.9,18.2,55.8,6.7,72.1,40.1,11.7,213.2650885
Washington County, Maryland,782.0,320,149585,54606,"(54545.6, 61494.5]",40.4,39.1,41.9,38.1,12.3,56.5,8.5,68.9,36.3,13.8,73.53678511
Wicomico County, Maryland,564.0,221,102370,51927,"(51046.4, 54545.6]",35.5,34.4,36.7,31.9,16.3,59.0,8.8,66.7,35.2,16.9,224.6751978
Worcester County, Maryland,413.0,164,51540,55691,"(54545.6, 61494.5]",49.1,47.0,50.2,31.6,18.8,53.1,9.9,67.4,43.6,11.9,0.0
Baltimore city, Maryland,3144.0,1419,621849,41895,"(40362.7, 42724.4]",34.6,33.3,35.9,29.8,15.3,53.8,13.1,56.1,43.9,23.3,886.0671964
Barnstable County, Massachusetts,1892.0,685,214333,64150,"(61494.5, 125635]",51.3,49.5,53.0,24.9,23.0,55.8,7.0,74.2,44.1,8.9,41.99073404
Berkshire County, Massachusetts,860.0,313,127828,49890,"(48021.6, 51046.4]",45.8,44.4,47.1,31.7,17.8,57.4,8.9,70.7,44.0,13.0,125.16819479999998
Ward County, Texas,53.0,24,11721,53244,"(51046.4, 54545.6]",34.8,33.1,37.4,35.0,7.9,55.4,4.4,61.1,29.6,14.0,0.0
Washington County, Texas,192.0,78,34765,55139,"(54545.6, 61494.5]",42.0,37.6,45.0,31.3,15.4,51.9,5.1,64.6,33.5,15.0,0.0
Webb County, Texas,595.0,243,269721,37935,"(37413.8, 40362.7]",28.3,26.8,29.6,24.4,11.9,54.3,6.0,36.0,36.3,32.3,44.49041788
Wharton County, Texas,202.0,83,41486,44110,"(42724.4, 45201]",37.3,35.7,37.9,33.6,9.5,58.9,6.6,54.7,32.9,16.8,0.0
Wheeler County, Texas,32.0,14,5657,52548,"(51046.4, 54545.6]",39.0,38.4,39.7,31.3,13.4,62.2,3.9,61.0,27.3,12.0,0.0
Wichita County, Texas,554.0,261,131705,43379,"(42724.4, 45201]",34.0,32.1,36.6,32.4,14.4,52.4,6.1,63.6,33.3,19.3,83.51998785
Wilbarger County, Texas,78.0,30,13027,39377,"(37413.8, 40362.7]",37.6,36.6,38.4,29.9,13.1,57.6,7.5,59.5,35.9,15.8,0.0
Willacy County, Texas,73.0,35,21903,29782,"[22640, 34218.1]",32.3,30.8,35.2,35.5,6.4,31.7,11.5,27.2,45.3,38.8,0.0
Wilson County, Texas,176.0,74,47520,62752,"(61494.5, 125635]",40.4,39.3,41.3,34.8,13.5,,5.8,71.4,27.0,11.0,0.0
Winkler County, Texas,28.0,13,8005,55493,"(54545.6, 61494.5]",33.0,32.7,33.4,31.2,9.3,58.5,2.5,58.4,25.3,13.5,124.9219238
Wise County, Texas,248.0,113,62953,59904,"(54545.6, 61494.5]",39.3,38.7,39.7,36.8,12.4,57.5,7.5,63.8,29.2,10.0,0.0
Wood County, Texas,283.0,122,43356,42753,"(42724.4, 45201]",48.2,47.0,49.9,34.7,12.2,45.0,8.9,61.7,40.8,15.4,0.0
Yoakum County, Texas,31.0,12,8546,60738,"(54545.6, 61494.5]",34.1,33.5,34.2,29.7,10.6,61.2,8.1,57.7,26.0,11.4,0.0
Young County, Texas,106.0,51,18270,41872,"(40362.7, 42724.4]",41.9,39.7,44.6,35.9,11.7,57.5,5.6,58.0,31.8,16.4,0.0
Zapata County, Texas,41.0,13,14374,33291,"[22640, 34218.1]",29.2,27.0,30.9,26.0,5.3,52.1,12.2,34.4,37.5,32.6,0.0
Zavala County, Texas,37.0,15,12235,26336,"[22640, 34218.1]",30.5,29.1,32.7,27.0,7.0,48.6,12.2,32.9,48.6,31.0,163.4654679
Beaver County, Utah,27.0,11,6354,50818,"(48021.6, 51046.4]",33.0,31.9,33.4,37.2,14.0,62.8,3.8,76.6,21.3,9.8,0.0
Box Elder County, Utah,171.0,62,52097,56313,"(54545.6, 61494.5]",32.0,31.3,33.0,32.5,15.1,59.8,6.3,79.3,22.5,11.6,0.0
Cache County, Utah,295.0,80,120783,51735,"(51046.4, 54545.6]",25.0,25.2,24.9,21.9,23.9,,5.5,78.2,19.4,14.2,157.3069058
Carbon County, Utah,102.0,38,20479,47340,"(45201, 48021.6]",35.1,34.1,35.7,26.9,10.7,57.8,7.4,70.6,30.8,15.7,0.0
Davis County, Utah,1009.0,268,336043,70797,"(61494.5, 125635]",30.2,29.4,30.9,21.2,24.1,65.5,4.2,81.5,18.8,7.2,5.951619287000001
Duchesne County, Utah,73.0,25,20862,61976,"(61494.5, 125635]",30.2,30.5,30.0,36.0,11.0,57.3,5.2,73.1,19.9,11.6,0.0
Emery County, Utah,37.0,13,10370,49709,"(48021.6, 51046.4]",34.5,34.3,34.8,32.9,9.7,54.1,5.7,73.3,28.4,12.9,0.0
Garfield County, Utah,26.0,8,5009,45666,"(45201, 48021.6]",39.6,38.3,43.6,34.5,13.2,50.5,8.6,67.1,30.1,12.2,0.0
Grand County, Utah,44.0,19,9516,43344,"(42724.4, 45201]",39.1,37.9,39.5,24.1,17.4,63.5,7.1,57.2,28.8,15.0,0.0
Iron County, Utah,156.0,48,48368,43615,"(42724.4, 45201]",28.1,27.8,28.3,24.7,18.7,56.3,10.5,63.8,28.1,22.1,310.12239500000004
Juab County, Utah,34.0,12,10594,55204,"(54545.6, 61494.5]",30.0,26.8,32.6,35.0,11.5,61.7,3.8,70.6,25.5,11.4,0.0
Kane County, Utah,39.0,14,7131,48456,"(48021.6, 51046.4]",43.6,41.4,45.5,28.8,15.5,55.7,7.0,64.5,33.4,11.8,0.0
Millard County, Utah,49.0,19,12645,52623,"(51046.4, 54545.6]",34.9,34.2,35.7,29.1,15.4,60.2,4.3,65.9,29.4,12.9,0.0
Morgan County, Utah,33.0,11,11065,82597,"(61494.5, 125635]",32.3,31.6,32.8,24.4,24.8,,6.0,80.6,18.8,4.6,0.0
Rich County, Utah,9.0,4,2311,56772,"(54545.6, 61494.5]",34.7,35.5,33.0,37.6,15.2,46.2,6.2,66.6,36.2,10.3,3894.418001
Salt Lake County, Utah,3540.0,1056,1107314,62536,"(61494.5, 125635]",31.8,31.3,32.3,22.8,20.8,66.9,5.8,73.1,20.2,11.9,345.8820172
San Juan County, Utah,35.0,16,15772,40590,"(40362.7, 42724.4]",30.6,29.1,31.9,31.5,11.2,46.7,8.4,45.4,35.8,29.2,0.0
Sanpete County, Utah,97.0,39,28778,44644,"(42724.4, 45201]",30.5,30.8,29.9,27.0,12.7,47.0,8.3,69.4,27.1,17.1,0.0
Sevier County, Utah,93.0,35,20984,48622,"(48021.6, 51046.4]",34.1,33.7,35.0,33.7,10.2,55.5,5.9,66.3,30.5,12.1,0.0
Summit County, Utah,142.0,32,39633,92560,"(61494.5, 125635]",38.2,37.8,38.4,15.5,30.6,70.8,3.2,81.2,13.5,6.8,25.231499
Tooele County, Utah,208.0,59,62952,64193,"(61494.5, 125635]",30.7,30.5,30.8,32.1,16.8,62.8,7.1,80.7,17.9,8.1,0.0
Uintah County, Utah,97.0,35,37928,65489,"(61494.5, 125635]",29.7,29.3,30.0,34.7,11.8,61.7,5.1,72.0,21.1,9.6,0.0
Utah County, Utah,1251.0,361,575205,60957,"(54545.6, 61494.5]",24.4,24.3,24.6,16.8,25.8,,5.5,78.3,17.0,12.6,62.58638225
Wasatch County, Utah,81.0,20,29161,65207,"(61494.5, 125635]",33.0,32.5,33.2,20.7,22.5,66.2,4.7,75.6,18.1,7.1,205.7542608
Washington County, Utah,672.0,223,155602,50169,"(48021.6, 51046.4]",34.6,33.4,35.9,24.6,17.0,52.5,7.7,63.9,34.3,12.9,141.3863575
Wayne County, Utah,12.0,4,2692,42366,"(40362.7, 42724.4]",40.3,40.2,40.3,25.3,17.1,61.2,2.1,68.2,24.7,14.1,0.0
Weber County, Utah,858.0,275,243645,59293,"(54545.6, 61494.5]",31.8,31.3,32.3,29.1,15.9,,6.3,72.9,23.5,12.3,221.6339346
Addison County, Vermont,192.0,76,37035,59089,"(54545.6, 61494.5]",42.8,42.3,43.7,32.0,20.5,63.2,5.8,68.2,39.5,9.5,0.0
Bennington County, Vermont,261.0,100,36317,44674,"(42724.4, 45201]",46.1,44.8,47.3,30.7,21.5,59.3,5.7,61.9,50.6,14.4,55.07062808
Caledonia County, Vermont,188.0,76,30780,45029,"(42724.4, 45201]",43.1,42.2,44.4,36.1,16.0,58.0,7.2,60.0,46.3,13.9,259.9090318
Chittenden County, Vermont,737.0,252,161382,61908,"(61494.5, 125635]",36.3,35.0,38.1,20.6,29.6,67.0,5.0,77.7,29.2,11.0,632.040748
Essex County, Vermont,48.0,17,6163,35570,"(34218.1, 37413.8]",48.8,49.0,48.6,43.3,10.7,,9.4,55.3,51.6,19.6,0.0
Franklin County, Vermont,232.0,95,48799,59184,"(54545.6, 61494.5]",39.9,39.1,40.9,37.6,15.4,66.2,4.9,67.9,39.1,9.1,0.0
Grand Isle County, Vermont,48.0,16,6861,60081,"(54545.6, 61494.5]",47.1,47.4,46.8,29.7,20.4,63.2,7.4,69.9,41.2,9.1,0.0
Lamoille County, Vermont,128.0,48,25235,49142,"(48021.6, 51046.4]",40.5,40.3,40.8,28.6,24.3,64.6,4.3,63.8,40.3,12.6,118.8825045
Orange County, Vermont,174.0,63,28899,53025,"(51046.4, 54545.6]",45.0,43.8,46.0,34.9,18.1,,4.5,66.9,42.6,12.8,34.60327347
Orleans County, Vermont,161.0,66,27100,42089,"(40362.7, 42724.4]",44.8,43.7,45.8,38.7,14.4,54.5,5.6,54.6,52.2,16.2,0.0
Rutland County, Vermont,393.0,150,59736,44888,"(42724.4, 45201]",45.5,44.3,46.9,34.2,18.1,59.3,6.6,65.3,44.4,13.5,100.4419446
Washington County, Vermont,343.0,123,58612,58673,"(54545.6, 61494.5]",43.2,41.7,44.7,29.2,23.2,65.0,4.8,71.3,37.3,11.0,443.5951682
Windham County, Vermont,274.0,112,43386,49616,"(48021.6, 51046.4]",45.8,44.3,47.2,30.7,20.2,60.9,6.8,63.7,45.7,12.9,0.0
Windsor County, Vermont,369.0,133,55737,51513,"(51046.4, 54545.6]",46.8,45.6,47.9,31.7,19.8,60.7,5.1,66.3,43.9,12.1,53.82421013
Accomack County, Virginia,221.0,106,32973,38390,"(37413.8, 40362.7]",45.3,42.7,47.3,39.9,11.0,53.1,6.8,61.8,36.7,19.4,0.0
Albemarle County, Virginia,425.0,174,105703,67083,"(61494.5, 125635]",38.6,36.9,40.4,18.2,25.4,57.6,3.8,81.9,22.4,9.1,113.5256331
Alleghany County, Virginia,98.0,50,15677,45454,"(45201, 48021.6]",47.2,45.6,48.6,36.9,9.9,49.2,5.1,69.6,41.2,15.8,255.1508579
Amelia County, Virginia,84.0,35,12903,51738,"(51046.4, 54545.6]",45.8,41.2,48.4,34.1,11.4,55.1,5.0,68.7,32.8,12.9,0.0
Amherst County, Virginia,181.0,81,31914,43998,"(42724.4, 45201]",43.6,42.4,44.7,35.7,12.2,,6.6,68.8,34.5,13.7,0.0
Appomattox County, Virginia,86.0,36,15414,44397,"(42724.4, 45201]",42.3,41.6,43.4,36.1,10.1,53.3,6.6,68.0,35.3,15.1,0.0
Arlington County, Virginia,657.0,224,229164,107143,"(61494.5, 125635]",33.9,33.8,34.0,8.3,34.5,74.4,3.7,85.7,14.0,8.5,30.54580999
Augusta County, Virginia,391.0,163,74314,57808,"(54545.6, 61494.5]",44.2,43.0,45.4,40.1,14.7,56.2,4.7,74.9,30.9,9.8,26.91282935
Bath County, Virginia,31.0,14,4470,43852,"(42724.4, 45201]",48.3,45.8,49.4,38.9,12.6,60.7,6.0,74.8,31.5,11.5,0.0
Bland County, Virginia,44.0,20,6561,42624,"(40362.7, 42724.4]",44.8,43.3,47.6,39.5,10.6,43.8,8.7,71.6,34.3,14.1,0.0
Botetourt County, Virginia,180.0,68,33347,63646,"(61494.5, 125635]",46.4,45.5,47.2,35.0,17.7,59.9,4.6,82.5,28.2,7.8,0.0
Brunswick County, Virginia,104.0,39,16698,37344,"(34218.1, 37413.8]",41.7,40.3,46.6,35.7,7.5,46.0,10.5,60.0,40.7,21.9,0.0
Buchanan County, Virginia,105.0,56,22776,32083,"[22640, 34218.1]",45.5,43.1,47.9,34.4,6.7,35.9,10.6,51.0,50.3,23.2,0.0
Buckingham County, Virginia,82.0,39,17032,38731,"(37413.8, 40362.7]",42.2,40.9,44.7,43.5,7.6,45.6,11.2,59.7,35.9,22.8,0.0
Campbell County, Virginia,267.0,115,55086,46663,"(45201, 48021.6]",42.4,40.8,43.6,36.1,12.3,58.0,6.0,70.3,33.0,14.5,0.0
Caroline County, Virginia,163.0,65,29984,56099,"(54545.6, 61494.5]",39.1,38.3,40.0,36.7,12.9,57.9,8.6,70.1,30.2,11.0,0.0
Carroll County, Virginia,168.0,78,29724,38474,"(37413.8, 40362.7]",46.1,44.5,48.6,34.5,10.5,52.8,6.7,62.9,38.8,17.0,0.0
Charles City County, Virginia,50.0,23,7040,49768,"(48021.6, 51046.4]",48.6,47.6,49.4,39.3,7.2,54.6,8.2,67.0,36.3,13.1,0.0
Charlotte County, Virginia,76.0,33,12201,36339,"(34218.1, 37413.8]",44.6,41.9,45.9,37.6,9.2,52.7,4.9,56.2,39.2,20.7,0.0
Chesterfield County, Virginia,1557.0,496,335687,72972,"(61494.5, 125635]",38.2,36.9,39.3,24.1,22.9,64.2,6.8,79.6,22.4,8.3,74.47413811
Clarke County, Virginia,77.0,38,14363,70281,"(61494.5, 125635]",45.7,44.2,46.7,28.0,18.1,59.0,6.0,75.4,25.8,8.2,0.0
Craig County, Virginia,29.0,13,5211,46551,"(45201, 48021.6]",47.1,46.6,47.6,48.4,11.8,51.4,4.1,65.8,40.4,12.4,4221.838419
Culpeper County, Virginia,209.0,90,49432,62394,"(61494.5, 125635]",38.9,37.9,39.6,34.1,14.9,59.0,7.3,72.7,25.8,11.0,20.22981065
Cumberland County, Virginia,56.0,24,9719,41409,"(40362.7, 42724.4]",44.3,41.5,45.4,36.5,10.0,56.7,10.1,57.4,40.2,19.0,0.0
Dickenson County, Virginia,74.0,46,15115,32103,"[22640, 34218.1]",43.4,42.4,44.5,35.6,6.5,39.7,8.4,57.7,46.7,21.3,0.0
Dinwiddie County, Virginia,138.0,60,27852,52288,"(51046.4, 54545.6]",42.4,41.3,43.3,39.7,9.7,55.3,9.7,71.1,31.2,12.1,0.0
Essex County, Virginia,66.0,29,11130,48277,"(48021.6, 51046.4]",44.8,45.0,44.5,38.5,9.0,57.0,8.5,67.2,35.3,14.5,0.0
Fairfax County, Virginia,3959.0,1229,1142234,110507,"(61494.5, 125635]",37.4,36.4,38.4,13.0,30.9,68.1,4.9,81.8,17.1,6.7,153.208537
Fauquier County, Virginia,272.0,116,68782,89106,"(61494.5, 125635]",41.5,40.6,42.4,28.5,20.5,64.8,5.0,80.7,21.3,7.4,43.61606234
Floyd County, Virginia,78.0,30,15651,43355,"(42724.4, 45201]",45.2,42.9,46.4,35.6,12.1,59.5,5.7,69.8,33.6,14.1,2875.215641
Fluvanna County, Virginia,136.0,56,26235,64258,"(61494.5, 125635]",41.6,40.3,42.9,28.4,19.0,57.4,5.2,80.0,26.3,7.9,0.0
Franklin County, Virginia,316.0,124,56264,47419,"(45201, 48021.6]",45.0,44.7,45.2,32.0,13.1,54.0,6.2,67.4,35.0,16.3,0.0
Frederick County, Virginia,389.0,157,83199,65485,"(61494.5, 125635]",40.1,39.1,41.0,30.5,18.4,63.9,5.2,75.7,24.2,7.7,0.0
Giles County, Virginia,94.0,46,16708,45979,"(45201, 48021.6]",43.9,42.1,45.0,40.0,9.5,,4.8,68.7,33.1,13.5,598.5156811
Gloucester County, Virginia,224.0,90,37143,58900,"(54545.6, 61494.5]",43.6,42.3,44.8,33.9,14.1,57.8,4.7,76.4,26.8,9.7,26.92297337
Goochland County, Virginia,138.0,43,22253,86610,"(61494.5, 125635]",47.2,46.1,48.4,26.9,24.3,57.3,5.0,81.6,27.4,7.5,0.0
Grayson County, Virginia,84.0,50,16012,31893,"[22640, 34218.1]",47.6,47.0,48.6,41.1,7.1,47.6,9.0,56.6,46.3,19.9,0.0
Greene County, Virginia,85.0,32,19162,61762,"(61494.5, 125635]",481.2,39.4,41.4,34.9,15.7,60.0,7.4,69.7,26.1,9.6,0.0
Greensville County, Virginia,69.0,24,11885,36459,"(34218.1, 37413.8]",42.9,41.5,45.5,42.3,4.6,33.5,6.4,65.8,37.8,25.1,0.0
Halifax County, Virginia,211.0,97,35125,39079,"(37413.8, 40362.7]",45.3,43.1,46.9,36.5,10.1,49.4,7.5,59.3,41.0,18.0,28.46975089
Hanover County, Virginia,568.0,185,103227,81940,"(61494.5, 125635]",41.9,40.4,43.2,27.6,23.6,65.1,4.4,84.7,22.1,6.1,106.5612679
Henrico County, Virginia,1459.0,565,325155,62446,"(61494.5, 125635]",37.9,36.0,39.7,22.8,25.2,65.4,6.7,76.0,24.4,11.0,153.77281599999998
Kings County, California,479.0,163,150965,44490,"(42724.4, 45201]",31.4,32.2,30.4,24.8,9.7,,13.0,55.9,37.6,24.9,0.0
Lake County, California,416.0,176,64591,36333,"(34218.1, 37413.8]",45.5,44.4,46.8,28.3,10.8,43.7,14.6,47.6,50.6,24.3,0.0
Lassen County, California,123.0,54,31345,49995,"(48021.6, 51046.4]",37.0,34.7,44.2,28.8,8.1,32.2,10.9,66.6,38.6,19.4,0.0
Los Angeles County, California,38150.0,14010,10170292,55686,"(54545.6, 61494.5]",35.6,34.4,36.8,20.7,19.8,58.0,10.0,55.0,32.9,18.7,255.9415207
Madera County, California,611.0,212,154998,43171,"(42724.4, 45201]",33.5,32.2,34.5,25.1,9.4,45.9,7.5,45.8,46.9,22.3,109.6788346
Marin County, California,1625.0,483,261221,94549,"(61494.5, 125635]",45.4,43.7,46.9,11.8,31.4,61.2,5.7,78.4,28.9,8.8,421.0993756
Mariposa County, California,116.0,43,17531,47781,"(45201, 48021.6]",50.6,50.6,50.6,28.5,13.8,48.2,11.6,68.6,41.3,16.2,0.0
Mendocino County, California,513.0,197,87649,42840,"(42724.4, 45201]",42.2,40.6,44.0,26.5,15.7,52.1,12.2,49.3,49.2,18.8,79.86400301
Merced County, California,877.0,343,268455,43818,"(42724.4, 45201]",30.4,29.6,31.0,24.8,8.7,49.8,16.2,48.0,44.4,24.8,29.80015273
Modoc County, California,57.0,24,8965,39172,"(37413.8, 40362.7]",47.8,47.6,48.2,26.1,13.2,43.9,8.6,50.8,50.3,20.2,111.5448968
Mono County, California,45.0,13,13909,59181,"(54545.6, 61494.5]",38.5,40.2,36.1,16.8,23.1,61.1,13.4,56.7,29.7,11.3,0.0
Barbour County, Alabama,155.0,62,26489,34971,"(34218.1, 37413.8]",38.8,36.6,41.9,34.5,7.5,39.5,17.6,52.7,46.6,25.4,0.0
Crenshaw County, Alabama,68.0,34,13963,34445,"(34218.1, 37413.8]",41.3,39.6,43.6,38.0,10.0,50.6,9.7,62.3,39.0,21.2,214.8535415
Monterey County, California,1601.0,551,433898,57428,"(54545.6, 61494.5]",33.5,32.8,34.3,20.8,14.2,54.3,8.4,55.6,35.1,17.0,73.75005186
Napa County, California,815.0,298,142456,71063,"(61494.5, 125635]",40.3,39.0,41.7,19.3,21.6,60.7,7.5,71.8,30.4,9.0,182.5124951
Nevada County, California,628.0,227,98877,57118,"(54545.6, 61494.5]",49.0,47.5,50.5,20.2,21.6,49.9,9.8,66.7,39.1,11.4,182.0443581
Orange County, California,12694.0,4410,3169776,76061,"(61494.5, 125635]",37.1,35.8,38.4,17.7,24.4,60.9,7.6,65.0,27.9,12.9,145.7516241
Placer County, California,1948.0,686,375391,75689,"(61494.5, 125635]",41.0,39.7,42.2,19.4,24.5,55.8,8.3,78.2,27.6,8.3,407.5750351
Plumas County, California,134.0,53,18409,47964,"(45201, 48021.6]",51.3,50.3,52.0,23.9,13.3,44.7,15.2,62.3,44.5,14.0,0.0
Riverside County, California,8857.0,3377,2361026,56877,"(54545.6, 61494.5]",34.5,33.5,35.5,25.8,13.4,52.4,12.9,56.3,35.0,17.1,57.17853171
Sacramento County, California,6346.0,2389,1501335,55803,"(54545.6, 61494.5]",35.5,34.2,36.8,22.3,19.1,55.3,11.8,63.2,35.2,18.1,239.1205161
San Benito County, California,216.0,75,58792,68166,"(61494.5, 125635]",35.0,34.2,35.7,24.4,13.4,60.1,12.2,64.5,31.2,14.1,102.0547013
San Bernardino County, California,7241.0,2778,2128133,51951,"(51046.4, 54545.6]",32.5,31.4,33.6,26.2,12.3,52.3,12.6,54.4,35.7,20.4,62.02619855
Cullman County, Alabama,419.0,189,82005,39922,"(37413.8, 40362.7]",40.5,39.4,41.9,34.7,9.1,49.7,7.3,62.6,35.3,17.2,512.1638924
San Diego County, California,13294.0,4895,3299521,66034,"(61494.5, 125635]",35.1,33.7,36.5,19.0,22.1,56.7,8.7,66.6,28.4,14.7,139.1111013
San Francisco County, California,3948.0,1387,864816,83788,"(61494.5, 125635]",38.5,38.4,38.6,12.7,32.6,64.7,6.8,72.0,27.8,12.1,445.1814027
San Joaquin County, California,2718.0,1065,726106,51527,"(51046.4, 54545.6]",33.5,32.4,34.6,26.4,12.5,52.7,13.7,57.2,37.7,20.7,60.59721308
San Luis Obispo County, California,1459.0,520,281401,61775,"(61494.5, 125635]",39.3,37.1,41.5,19.7,20.8,54.0,6.6,71.9,30.3,14.5,156.36049619999997
San Mateo County, California,3648.0,1186,765135,100806,"(61494.5, 125635]",39.5,38.2,40.8,16.5,27.1,64.1,6.7,76.0,25.8,7.5,218.2621367
Santa Barbara County, California,1912.0,664,444769,62116,"(61494.5, 125635]",33.6,32.4,35.0,17.7,19.2,58.4,8.0,63.2,31.9,17.4,229.33252990000005
Santa Clara County, California,7334.0,2355,1918044,97219,"(61494.5, 125635]",36.8,35.9,37.8,15.2,26.1,61.9,7.7,74.1,24.8,8.5,410.3138406000001
Santa Cruz County, California,1225.0,396,274146,64257,"(61494.5, 125635]",37.0,35.9,38.3,15.5,23.2,59.4,7.6,68.3,29.9,16.1,83.89690165
Shasta County, California,1108.0,465,179533,43661,"(42724.4, 45201]",42.2,40.2,43.9,25.8,12.8,47.9,10.3,56.4,44.8,14.7,5.570006628
Sierra County, California,16.0,9,2967,47293,"(45201, 48021.6]",54.5,54.4,55.1,34.5,14.8,42.4,8.0,58.8,49.0,13.8,0.0
Dale County, Alabama,257.0,106,49565,41940,"(40362.7, 42724.4]",36.8,34.0,39.4,32.2,10.8,47.7,10.9,65.6,36.7,22.4,0.0
Siskiyou County, California,290.0,133,43554,38641,"(37413.8, 40362.7]",47.8,45.9,49.0,24.9,15.5,44.8,12.7,53.4,50.9,21.1,160.7200257
Solano County, California,2017.0,744,436092,67106,"(61494.5, 125635]",37.3,35.9,38.7,23.8,17.6,55.3,11.4,69.2,32.4,12.3,392.1190941
Sonoma County, California,2647.0,962,502146,66949,"(61494.5, 125635]",40.8,39.2,42.6,19.9,21.4,59.5,8.1,69.2,32.1,11.3,213.0854373
Stanislaus County, California,2075.0,793,538388,50917,"(48021.6, 51046.4]",33.5,32.3,34.8,28.3,11.0,52.3,15.2,54.7,39.8,18.1,105.8716019
Sutter County, California,386.0,155,96463,51827,"(51046.4, 54545.6]",35.4,34.1,36.4,24.8,12.1,51.6,13.2,54.5,41.4,15.2,0.0
Tehama County, California,372.0,139,63308,40782,"(40362.7, 42724.4]",40.5,39.3,42.0,30.5,9.6,46.6,13.2,53.1,47.8,18.2,0.0
Trinity County, California,98.0,41,13069,34961,"(34218.1, 37413.8]",50.3,50.1,50.5,31.0,15.0,42.2,9.0,44.8,49.5,19.9,0.0
Tulare County, California,1436.0,564,459863,42360,"(40362.7, 42724.4]",30.3,29.6,30.9,25.2,9.5,52.5,12.0,43.1,46.3,28.1,0.0
Tuolumne County, California,412.0,142,53709,49476,"(48021.6, 51046.4]",48.6,46.4,51.1,29.7,13.7,42.3,12.9,64.0,46.2,14.3,18.61885345
Ventura County, California,3629.0,1234,850536,74967,"(61494.5, 125635]",37.1,35.8,38.4,19.0,20.0,60.4,8.6,66.8,29.1,11.5,43.50197993
Dallas County, Alabama,252.0,108,41131,26602,"[22640, 34218.1]",38.7,36.2,40.0,34.6,8.2,43.5,16.4,48.1,50.4,35.2,0.0
Yolo County, California,760.0,282,213016,54509,"(51046.4, 54545.6]",30.9,30.5,31.4,19.7,19.7,55.4,9.0,70.5,27.6,19.5,117.3620761
